144	6770.14	1158	2.53	5.85	2518.23	8.22%	TrailStart=12 	TrailStop=41 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
19	5713.78	1198	2.19	4.77	2518.23	8.33%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
44	5505.65	1195	2.11	4.61	2518.23	8.36%	TrailStart=10 	TrailStop=35 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
88	4490.86	1133	1.80	3.96	2518.23	8.62%	TrailStart=10 	TrailStop=39 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
63	12065.40	1141	3.63	10.57	3710.67	11.22%	TrailStart=18 	TrailStop=21 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
31	17998.09	1249	3.91	14.41	3090.60	12.35%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
45	12286.58	1132	3.33	10.85	3146.87	12.35%	TrailStart=14 	TrailStop=51 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
53	14328.60	1336	3.83	10.72	3146.87	12.35%	TrailStart=16 	TrailStop=13 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
67	16692.61	1133	3.55	14.73	3146.87	12.35%	TrailStart=16 	TrailStop=51 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
68	7220.87	1167	2.08	6.19	3146.87	12.35%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
77	9499.44	1268	2.63	7.49	3146.87	12.35%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=10	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
99	5666.50	975	2.18	5.81	3541.46	12.60%	TrailStart=12 	TrailStop=39 	MaxOpenOrders=8	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
7	20127.60	1257	4.08	16.01	4068.09	16.06%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=11	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
81	7045.23	1175	1.72	6.00	4897.65	16.06%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=11	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
9	6289.47	1057	1.91	5.95	5130.46	17.43%	TrailStart=14 	TrailStop=39 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
72	6742.37	1104	2.15	6.11	5130.46	17.49%	TrailStart=14 	TrailStop=37 	MaxOpenOrders=9	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
6	18176.25	1202	3.22	15.12	4391.68	17.55%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
8	22556.56	1234	3.72	18.28	4391.68	17.55%	TrailStart=18 	TrailStop=21 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
12	15699.91	1369	3.16	11.47	4391.68	17.55%	TrailStart=16 	TrailStop=13 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
17	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=17	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
26	11064.69	1302	2.29	8.50	5968.83	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
30	14147.40	1315	2.76	10.76	4391.68	17.55%	TrailStart=16 	TrailStop=21 	MaxOpenOrders=12	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
32	15833.32	1302	3.04	12.16	4391.68	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
33	18336.38	1236	3.23	14.84	4391.68	17.55%	TrailStart=10 	TrailStop=47 	MaxOpenOrders=18	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
34	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=14	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
59	15833.32	1302	3.04	12.16	4391.68	17.55%	TrailStart=10 	TrailStop=37 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
60	18176.25	1202	3.22	15.12	4391.68	17.55%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
62	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
66	18176.25	1202	3.22	15.12	4391.68	17.55%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=13	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
70	17334.84	1326	3.22	13.07	4391.68	17.55%	TrailStart=16 	TrailStop=21 	MaxOpenOrders=16	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
73	22161.38	1268	4.11	17.48	4391.68	17.55%	TrailStart=18 	TrailStop=13 	MaxOpenOrders=20	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
79	18243.01	1370	3.49	13.32	4391.68	17.55%	TrailStart=16 	TrailStop=13 	MaxOpenOrders=15	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
83	18176.25	1202	3.22	15.12	4391.68	17.55%	TrailStart=10 	TrailStop=49 	MaxOpenOrders=20	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=15 	TakeProfit=23 	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
