107	9963.02	507	4.63	19.65	2789.60	17.88%	Lots=0.02 	MultiLotsFactor=1.8 	StepLots=27 	TakeProfit=28 	TrailStart=30 	TrailStop=61 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
100	9963.02	507	4.63	19.65	2789.60	17.88%	Lots=0.02 	MultiLotsFactor=1.8 	StepLots=27 	TakeProfit=28 	TrailStart=38 	TrailStop=17 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
23	9731.37	1200	2.93	8.11	4656.99	28.25%	Lots=0.01 	MultiLotsFactor=2.9 	StepLots=23 	TakeProfit=10 	TrailStart=56 	TrailStop=9 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
16	8324.73	734	1.95	11.34	4860.80	26.77%	Lots=0.03 	MultiLotsFactor=2.7 	StepLots=27 	TakeProfit=34 	TrailStart=12 	TrailStop=29 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
10	7387.26	658	2.55	11.23	2849.82	21.29%	Lots=0.02 	MultiLotsFactor=2.8 	StepLots=31 	TakeProfit=31 	TrailStart=16 	TrailStop=11 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
41	6339.66	947	2.42	6.69	3084.20	19.80%	Lots=0.02 	MultiLotsFactor=1.8 	StepLots=15 	TakeProfit=40 	TrailStart=12 	TrailStop=35 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
87	5999.86	542	3.77	11.07	1801.73	13.27%	Lots=0.01 	MultiLotsFactor=2.7 	StepLots=29 	TakeProfit=34 	TrailStart=18 	TrailStop=41 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
177	5988.28	610	3.69	9.82	2450.56	24.24%	Lots=0.01 	MultiLotsFactor=2 	StepLots=27 	TakeProfit=22 	TrailStart=38 	TrailStop=11 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
25	5181.53	471	3.56	11.00	2792.78	21.96%	Lots=0.04 	MultiLotsFactor=1 	StepLots=15 	TakeProfit=28 	TrailStart=50 	TrailStop=59 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
39	4905.57	415	2.49	11.82	3265.61	27.28%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=21 	TakeProfit=31 	TrailStart=24 	TrailStop=37 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
170	4790.82	1492	3.94	3.21	2206.27	18.34%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=5 	TakeProfit=13 	TrailStart=30 	TrailStop=33 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
18	4790.82	1492	3.94	3.21	2206.27	18.34%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=5 	TakeProfit=13 	TrailStart=36 	TrailStop=41 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
68	4574.70	548	4.59	8.35	1760.07	12.55%	Lots=0.01 	MultiLotsFactor=2.2 	StepLots=27 	TakeProfit=25 	TrailStart=24 	TrailStop=7 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
191	4474.27	373	7.71	12.00	2884.87	24.43%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=15 	TakeProfit=37 	TrailStart=38 	TrailStop=37 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
27	4289.09	419	2.74	10.24	2509.40	21.33%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=31 	TakeProfit=19 	TrailStart=24 	TrailStop=37 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
133	3823.17	956	2.27	4.00	3012.60	23.82%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=38 	TrailStop=13 	MaxOpenOrders=14	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
86	3823.17	956	2.27	4.00	3012.60	23.82%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=46 	TrailStop=5 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
28	3823.17	956	2.27	4.00	3012.60	23.82%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=18 	TrailStop=41 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
3	3823.17	956	2.27	4.00	3012.60	23.82%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=32 	TrailStop=31 	MaxOpenOrders=14	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
163	3770.75	648	1.85	5.82	3302.68	23.97%	Lots=0.02 	MultiLotsFactor=1.8 	StepLots=27 	TakeProfit=31 	TrailStart=12 	TrailStop=35 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
77	3747.17	392	2.54	9.56	3233.89	25.63%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=25 	TrailStart=54 	TrailStop=31 	MaxOpenOrders=9	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
168	3627.53	955	2.31	3.80	2086.12	16.12%	Lots=0.01 	MultiLotsFactor=2.7 	StepLots=29 	TakeProfit=10 	TrailStart=18 	TrailStop=41 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
92	3519.56	346	2.54	10.17	2992.79	27.10%	Lots=0.05 	MultiLotsFactor=1.3 	StepLots=7 	TakeProfit=22 	TrailStart=24 	TrailStop=33 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
26	3481.33	359	3.36	9.70	3032.86	21.54%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=25 	TrailStart=24 	TrailStop=47 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
124	3458.68	430	4.33	8.04	1683.36	13.09%	Lots=0.04 	MultiLotsFactor=1.1 	StepLots=7 	TakeProfit=22 	TrailStart=52 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
55	3415.60	679	1.78	5.03	4321.80	29.11%	Lots=0.01 	MultiLotsFactor=2.2 	StepLots=27 	TakeProfit=31 	TrailStart=14 	TrailStop=33 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
127	3389.52	604	1.88	5.61	2776.34	24.08%	Lots=0.06 	MultiLotsFactor=1 	StepLots=21 	TakeProfit=10 	TrailStart=60 	TrailStop=35 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
137	3386.70	886	2.18	3.82	3500.30	28.73%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=21 	TakeProfit=13 	TrailStart=52 	TrailStop=25 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
209	3371.56	782	2.96	4.31	3966.61	27.32%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=7 	TakeProfit=10 	TrailStart=28 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
186	3250.58	314	3.97	10.35	2551.47	18.00%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=40 	TrailStart=24 	TrailStop=7 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
60	3226.53	969	2.26	3.33	3012.60	24.83%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=10 	TrailStop=53 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
32	3114.33	246	3.01	12.66	2656.55	18.12%	Lots=0.05 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=38 	TrailStop=47 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
1	3089.57	252	4.58	12.26	3083.22	26.33%	Lots=0.06 	MultiLotsFactor=1.2 	StepLots=21 	TakeProfit=19 	TrailStart=48 	TrailStop=7 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
199	3077.29	338	4.02	9.10	3004.10	25.71%	Lots=0.02 	MultiLotsFactor=2 	StepLots=21 	TakeProfit=19 	TrailStart=24 	TrailStop=49 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
44	3077.29	338	4.02	9.10	3004.10	25.71%	Lots=0.02 	MultiLotsFactor=2 	StepLots=21 	TakeProfit=19 	TrailStart=34 	TrailStop=15 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
98	3045.03	991	3.37	3.07	2368.59	17.91%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=5 	TakeProfit=10 	TrailStart=38 	TrailStop=37 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
47	3026.20	351	3.44	8.62	1408.61	12.24%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=23 	TakeProfit=37 	TrailStart=46 	TrailStop=55 	MaxOpenOrders=15	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
119	2952.21	942	2.39	3.13	2621.79	19.21%	Lots=0.04 	MultiLotsFactor=1 	StepLots=7 	TakeProfit=10 	TrailStart=44 	TrailStop=35 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
